     leads  conv_rate    avg_deal  customers      revenue       margin
291.852742   0.226688 1067.553992  66.159467 70628.803509 50114.947386
358.247336   0.152030  915.819324  54.464428 49879.575224 31222.198767
331.240132   0.176108  969.133920  58.333890 56533.351032 36771.540410
229.828774   0.170565  926.998958  39.200777 36339.079761 18425.112464
324.071014   0.118370 1041.951502  38.360185 39969.452140 21792.400397
278.654781   0.161403  967.427514  44.975740 43510.768060 25468.647774
260.636928   0.186101 1196.116351  48.504802 58017.386904 38710.885081
334.259571   0.184433  945.495396  61.648648 58288.512419 38892.566959
308.995256   0.216329 1330.684731  66.844604 88949.093975 66829.531049
245.096779   0.173150 1002.517424  42.438446 42545.281107 23358.969353
